model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
transformer,True,58.565735816955566,84.86056327819824,62.14655028038323,58.69494949494949,58.355390901069526,25,100,42,0.0003,32,90,cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a,2025-09-22T04:18:59,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041824-a36c7a/results.jsonl
cnn,True,57.17131495475769,87.84860968589783,64.74391231507511,56.967676767676764,55.981592614528545,25,100,42,0.001,32,90,cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52,2025-09-22T04:20:22,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.001-seed42-20250922-042003-584e52/results.jsonl
lstm,True,56.17530345916748,82.86852836608887,57.15245734657499,56.29090909090909,54.750668978823356,25,100,42,0.001,32,90,cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f,2025-09-22T04:21:43,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.001-seed42-20250922-042106-52b71f/results.jsonl
cnn,True,54.98008131980896,88.44621777534485,63.41028778446236,54.888888888888886,52.88043357997992,25,100,42,0.0003,32,90,cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041603-da8435,2025-09-22T04:16:22,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041603-da8435/results.jsonl
transformer,True,54.38247323036194,85.25896668434143,56.78937719487255,54.554545454545455,52.18056191868672,25,100,42,0.001,32,90,cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20250922-042225-ba3e97,2025-09-22T04:23:00,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.001-seed42-20250922-042225-ba3e97/results.jsonl
transformer,True,53.98406386375427,83.26693773269653,55.67004585541737,53.941414141414135,52.01394692931205,25,100,42,0.003,32,90,cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20250922-042626-b5288e,2025-09-22T04:27:01,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g25-w100-bs32-lr0.003-seed42-20250922-042626-b5288e/results.jsonl
cnn,True,53.38645577430725,86.25498414039612,59.84344939639057,53.33939393939395,51.59601051607606,25,100,42,0.003,32,90,cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20250922-042405-aaf132,2025-09-22T04:24:24,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-cnn-c1-g25-w100-bs32-lr0.003-seed42-20250922-042405-aaf132/results.jsonl
lstm,True,52.19123363494873,81.67331218719482,53.15863515569398,52.407070707070716,49.86245164472057,25,100,42,0.003,32,90,cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20250922-042507-090bbf,2025-09-22T04:25:44,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.003-seed42-20250922-042507-090bbf/results.jsonl
lstm,True,51.992034912109375,83.26693773269653,53.700222481337036,52.07878787878788,50.02823633191134,25,100,42,0.0003,32,90,cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041706-c0ad45,2025-09-22T04:17:42,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041706-c0ad45/results.jsonl
transformer,True,41.05461239814758,72.1280574798584,40.34372720502751,41.580555555555556,37.942370694532066,0,100,42,0.001,32,90,cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.001-seed42-20250922-042145-f88fe4,2025-09-22T04:22:22,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.001-seed42-20250922-042145-f88fe4/results.jsonl
transformer,True,38.60640227794647,74.57627058029175,38.25733498527616,39.406060606060606,36.56152770202851,0,100,42,0.0003,32,90,cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041745-b9cede,2025-09-22T04:18:21,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041745-b9cede/results.jsonl
transformer,True,35.02824902534485,69.4915235042572,35.144948842007665,35.68232323232323,30.878090091257445,0,100,42,0.003,32,90,cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.003-seed42-20250922-042546-732ed2,2025-09-22T04:26:23,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-transformer-c1-g0-w100-bs32-lr0.003-seed42-20250922-042546-732ed2/results.jsonl
lstm,True,33.70997905731201,64.97175097465515,32.85651908577605,34.406060606060606,30.738244644000062,0,100,42,0.001,32,90,cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.001-seed42-20250922-042025-e62dad,2025-09-22T04:21:03,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.001-seed42-20250922-042025-e62dad/results.jsonl
lstm,True,33.145007491111755,59.887003898620605,36.24864705555882,33.64040404040404,29.797154670221516,0,100,42,0.0003,32,90,cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041625-2bd19b,2025-09-22T04:17:02,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041625-2bd19b/results.jsonl
cnn,True,31.073445081710815,69.30320262908936,32.81136890368639,30.899747474747468,28.466959931737453,0,100,42,0.0003,32,90,cSEL_grad_w100-cnn-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041540-2283b0,2025-09-22T04:15:59,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-cnn-c1-g0-w100-bs32-lr0.0003-seed42-20250922-041540-2283b0/results.jsonl
lstm,True,30.50847351551056,70.80979347229004,30.50982219534851,31.33358585858586,27.286465314195084,0,100,42,0.003,32,90,cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.003-seed42-20250922-042427-7094b0,2025-09-22T04:25:04,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-lstm-c1-g0-w100-bs32-lr0.003-seed42-20250922-042427-7094b0/results.jsonl
mlp,True,28.08765172958374,58.7649405002594,28.608788433788433,28.068686868686864,26.01610100769228,25,100,42,0.003,32,90,cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0,2025-09-22T04:23:39,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.003-seed42-20250922-042323-a1afc0/results.jsonl
mlp,True,26.693227887153625,60.756975412368774,26.572123557034043,26.594949494949493,23.818851262029998,25,100,42,0.0003,32,90,cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041521-a0c178,2025-09-22T04:15:37,/orcd/home/002/dewei/workspace/SmellNet/models/runs_cw100/cSEL_grad_w100-mlp-c1-g25-w100-bs32-lr0.0003-seed42-20250922-041521-a0c178/results.jsonl
