run_name,model,contrastive,gradient,window,seed,category,n,acc1,acc5
cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,cnn,True,25,50,42,Fruits,214,61.21495327102804,91.58878504672897
cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,cnn,True,25,50,42,Herbs,215,48.837209302325576,80.93023255813954
cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,cnn,True,25,50,42,Nuts,230,43.47826086956522,84.78260869565217
cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,cnn,True,25,50,42,Spices,212,51.41509433962265,84.90566037735849
cSEL_grad_w50-cnn-c1-g25-w50-bs32-lr0.001-seed42-20250922-185344-70fa20,cnn,True,25,50,42,Vegetables,212,25.0,77.83018867924528
cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,lstm,True,25,50,42,Fruits,214,60.280373831775705,85.98130841121495
cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,lstm,True,25,50,42,Herbs,215,52.55813953488372,73.95348837209302
cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,lstm,True,25,50,42,Nuts,230,61.30434782608696,87.39130434782608
cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,lstm,True,25,50,42,Spices,212,50.0,82.54716981132076
cSEL_grad_w50-lstm-c1-g25-w50-bs32-lr0.003-seed42-20250922-190310-8d5b24,lstm,True,25,50,42,Vegetables,212,41.9811320754717,77.35849056603774
cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,mlp,True,25,50,42,Fruits,214,20.5607476635514,60.280373831775705
cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,mlp,True,25,50,42,Herbs,215,26.046511627906977,69.76744186046511
cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,mlp,True,25,50,42,Nuts,230,22.17391304347826,44.78260869565218
cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,mlp,True,25,50,42,Spices,212,28.77358490566038,75.47169811320755
cSEL_grad_w50-mlp-c1-g25-w50-bs32-lr0.0003-seed42-20250922-184447-e78251,mlp,True,25,50,42,Vegetables,212,21.69811320754717,51.886792452830186
cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,transformer,True,25,50,42,Fruits,214,60.280373831775705,85.98130841121495
cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,transformer,True,25,50,42,Herbs,215,52.093023255813954,79.53488372093022
cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,transformer,True,25,50,42,Nuts,230,47.82608695652174,79.56521739130434
cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,transformer,True,25,50,42,Spices,212,50.47169811320755,83.49056603773585
cSEL_grad_w50-transformer-c1-g25-w50-bs32-lr0.0003-seed42-20250922-185027-441576,transformer,True,25,50,42,Vegetables,212,44.339622641509436,79.24528301886792
