timestamp_ms,NO2,C2H5CH,VOC,CO
0.0,695.0,965.0,786.0,881.7
100.0,689.9,965.0,777.0,869.0
200.0,695.0,965.0,777.0,885.8
300.0,680.0,965.0,786.0,879.6
400.0,695.0,965.0,777.0,883.9
500.0,691.8,965.0,783.4,889.2
600.0,695.0,971.0,786.0,885.1
700.0,681.7,965.0,777.0,873.6
800.0,695.0,968.7,780.3,878.7
900.0,691.0,965.0,786.0,869.0
1000.0,695.0,965.0,786.0,889.8
1100.0,689.3,971.0,777.0,874.4
1200.0,680.4,965.0,777.0,869.0
1300.0,683.5,965.0,780.4,891.0
1400.0,690.7,971.0,777.0,879.2
1500.0,684.5,965.6,786.0,891.0
1600.0,695.0,971.0,786.0,891.0
1700.0,695.0,965.9,786.0,869.0
1800.0,683.4,971.0,779.6,869.0
1900.0,695.0,965.0,777.0,869.0
2000.0,692.6,971.0,783.3,887.1
2100.0,692.4,967.3,777.0,891.0
2200.0,684.4,971.0,786.0,880.1
2300.0,693.0,971.0,785.0,887.8
2400.0,690.5,971.0,786.0,888.6
2500.0,688.9,971.0,783.0,891.0
2600.0,684.6,965.0,782.8,869.2
2700.0,681.9,965.0,782.6,871.5
2800.0,684.7,971.0,777.0,891.0
2900.0,695.0,971.0,777.0,891.0
3000.0,681.2,971.0,778.7,873.0
3100.0,695.0,965.0,780.3,874.6
3200.0,690.8,965.0,786.0,891.0
3300.0,684.3,965.0,779.7,891.0
3400.0,689.7,971.0,786.0,869.0
3500.0,683.8,971.0,777.0,882.2
3600.0,688.2,971.0,786.0,870.1
3700.0,691.4,965.6,786.0,885.9
3800.0,683.3,967.7,785.9,879.0
3900.0,695.0,966.7,777.0,872.2
4000.0,695.0,965.0,786.0,888.6
4100.0,687.6,965.0,777.0,886.2
4200.0,694.7,965.0,780.4,884.0
4300.0,687.3,965.0,786.0,879.1
4400.0,686.7,971.0,783.1,869.0
4500.0,695.0,971.0,786.0,887.9
4600.0,691.6,971.0,777.0,891.0
4700.0,680.2,965.0,778.3,891.0
4800.0,682.2,971.0,777.0,869.0
4900.0,680.0,966.7,777.0,871.0
5000.0,695.0,971.0,784.0,881.2
5100.0,695.0,971.0,786.0,873.8
5200.0,680.0,971.0,777.9,891.0
5300.0,694.1,971.0,786.0,870.2
5400.0,690.4,971.0,779.1,876.4
5500.0,689.1,965.0,781.1,891.0
5600.0,680.0,971.0,777.0,891.0
5700.0,685.6,971.0,786.0,869.1
5800.0,680.0,965.0,786.0,874.2
5900.0,691.7,965.0,777.0,869.0
6000.0,685.5,970.4,785.7,889.3
6100.0,695.0,966.3,782.2,886.3
6200.0,691.6,971.0,777.0,875.9
6300.0,680.9,971.0,778.2,884.8
6400.0,680.0,969.4,777.0,891.0
6500.0,695.0,965.0,786.0,886.3
6600.0,687.9,965.0,786.0,873.4
6700.0,692.0,965.0,777.0,877.1
6800.0,695.0,971.0,777.7,875.5
6900.0,693.5,966.7,782.6,875.7
7000.0,681.4,967.2,786.0,884.9
7100.0,680.0,965.0,786.0,873.2
7200.0,691.1,965.0,777.0,879.3
7300.0,689.6,966.5,777.0,891.0
7400.0,693.1,971.0,777.0,880.0
7500.0,692.7,965.0,781.1,888.6
7600.0,695.0,965.0,786.0,880.4
7700.0,695.0,971.0,786.0,891.0
