model,contrastive,acc1,acc5,precision_macro,recall_macro,f1_macro,gradient,window,seed,lr,batch,epochs,run_name,timestamp,_source_file
lstm,False,50.69252077562327,84.7645429362881,51.422789378745314,51.049400328885454,48.81095645510035,25,50,42,0.003,32,90,SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.003-seed42-20250922-192117-211da7,2025-09-22T19:22:03,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.003-seed42-20250922-192117-211da7/results.jsonl
transformer,False,50.60018467220684,85.0415512465374,53.511285612650724,50.901491649083184,49.55693966291866,25,50,42,0.0003,32,90,SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.0003-seed42-20250922-191138-d2b93a,2025-09-22T19:12:42,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.0003-seed42-20250922-191138-d2b93a/results.jsonl
lstm,False,49.953831948291786,84.7645429362881,52.3029902642563,50.0655400358604,48.515213434958085,25,50,42,0.001,32,90,SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.001-seed42-20250922-191527-ffda63,2025-09-22T19:16:13,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.001-seed42-20250922-191527-ffda63/results.jsonl
transformer,False,46.99907663896584,83.93351800554017,46.758258529614764,47.02815980167811,44.72758081712449,25,50,42,0.003,32,90,SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.003-seed42-20250922-192316-0c9731,2025-09-22T19:24:19,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.003-seed42-20250922-192316-0c9731/results.jsonl
cnn,False,46.99907663896584,81.7174515235457,51.20152813928741,46.72064154952599,46.1294894993791,25,50,42,0.003,32,90,SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.003-seed42-20250922-191955-aac567,2025-09-22T19:20:22,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.003-seed42-20250922-191955-aac567/results.jsonl
cnn,False,46.35272391505079,81.16343490304709,53.913226999859766,45.936127150881156,44.68938716810073,25,50,42,0.001,32,90,SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.001-seed42-20250922-191405-e01a24,2025-09-22T19:14:32,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.001-seed42-20250922-191405-e01a24/results.jsonl
cnn,False,45.42936288088642,81.07109879963066,51.72939649994841,44.98806482609686,44.17559253062056,25,50,42,0.0003,32,90,SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.0003-seed42-20250922-190816-bcf7a7,2025-09-22T19:08:43,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g25-w50-bs32-lr0.0003-seed42-20250922-190816-bcf7a7/results.jsonl
transformer,False,44.69067405355494,81.99445983379502,46.539254693866575,44.919050813793376,44.16645477862857,25,50,42,0.001,32,90,SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.001-seed42-20250922-191728-04ec38,2025-09-22T19:18:32,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g25-w50-bs32-lr0.001-seed42-20250922-191728-04ec38/results.jsonl
lstm,False,41.55124653739612,82.36380424746076,43.614679609023725,41.62813731463045,40.79883687007171,25,50,42,0.0003,32,90,SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.0003-seed42-20250922-190938-c95d08,2025-09-22T19:10:24,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g25-w50-bs32-lr0.0003-seed42-20250922-190938-c95d08/results.jsonl
transformer,False,35.1279788172992,70.96204766107678,33.96787566424531,35.77339023295545,33.112505122663464,0,50,42,0.003,32,90,SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.003-seed42-20250922-192206-0ca87d,2025-09-22T19:23:12,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.003-seed42-20250922-192206-0ca87d/results.jsonl
transformer,False,34.15710503089144,71.66813768755517,33.01110518382939,34.769781522825,30.679689992837144,0,50,42,0.0003,32,90,SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.0003-seed42-20250922-191027-45cc2c,2025-09-22T19:11:34,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.0003-seed42-20250922-191027-45cc2c/results.jsonl
transformer,False,31.950573698146513,67.69638128861429,29.001327018813438,32.689050659485446,29.71561014707566,0,50,42,0.001,32,90,SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.001-seed42-20250922-191616-a37a49,2025-09-22T19:17:24,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-transformer-c0-g0-w50-bs32-lr0.001-seed42-20250922-191616-a37a49/results.jsonl
lstm,False,29.3909973521624,72.28596646072374,29.018082456496874,30.16919080919081,25.948737471042076,0,50,42,0.003,32,90,SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.003-seed42-20250922-192026-4c60bd,2025-09-22T19:21:13,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.003-seed42-20250922-192026-4c60bd/results.jsonl
lstm,False,28.331862312444837,63.72462488967343,27.495797860979547,28.96097699402047,25.590682007204368,0,50,42,0.001,32,90,SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.001-seed42-20250922-191436-a16486,2025-09-22T19:15:23,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.001-seed42-20250922-191436-a16486/results.jsonl
lstm,False,25.94880847308032,59.84112974404236,22.91271692435337,26.374809393505043,22.689584324690774,0,50,42,0.0003,32,90,SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.0003-seed42-20250922-190847-4d9c87,2025-09-22T19:09:35,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-lstm-c0-g0-w50-bs32-lr0.0003-seed42-20250922-190847-4d9c87/results.jsonl
cnn,False,25.507502206531335,61.25330979699912,26.96559684376838,25.507462971810803,23.36633223417929,0,50,42,0.001,32,90,SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.001-seed42-20250922-191333-9a1f19,2025-09-22T19:14:02,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.001-seed42-20250922-191333-9a1f19/results.jsonl
cnn,False,24.44836716681377,64.43071491615181,24.42747915915175,23.830921397443138,19.561149763060083,0,50,42,0.0003,32,90,SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.0003-seed42-20250922-190745-ea3cc6,2025-09-22T19:08:12,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.0003-seed42-20250922-190745-ea3cc6/results.jsonl
cnn,False,22.771403353927624,59.04677846425419,22.463974240335368,22.858403914925653,19.232434915401406,0,50,42,0.003,32,90,SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.003-seed42-20250922-191923-a1a2bc,2025-09-22T19:19:52,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-cnn-c0-g0-w50-bs32-lr0.003-seed42-20250922-191923-a1a2bc/results.jsonl
mlp,False,21.977052074139454,55.8693733451015,17.097998787372244,21.47351214003388,17.27493344226273,0,50,42,0.003,32,90,SEL_grad_w50-mlp-c0-g0-w50-bs32-lr0.003-seed42-20250922-191835-f9a5d7,2025-09-22T19:18:57,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-mlp-c0-g0-w50-bs32-lr0.003-seed42-20250922-191835-f9a5d7/results.jsonl
mlp,False,20.211827007943516,56.22241835834069,15.934093977187183,19.5717711274233,15.171139613582344,0,50,42,0.001,32,90,SEL_grad_w50-mlp-c0-g0-w50-bs32-lr0.001-seed42-20250922-191246-464ff2,2025-09-22T19:13:07,/orcd/home/002/dewei/workspace/SmellNet/models/runs_w50/SEL_grad_w50-mlp-c0-g0-w50-bs32-lr0.001-seed42-20250922-191246-464ff2/results.jsonl
