run_name,model,contrastive,gradient,window,seed,category,n,acc1,acc5
SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,cnn,False,25,100,42,Fruits,99,63.63636363636363,90.9090909090909
SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,cnn,False,25,100,42,Herbs,98,56.12244897959183,75.51020408163265
SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,cnn,False,25,100,42,Nuts,107,49.532710280373834,88.78504672897196
SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,cnn,False,25,100,42,Spices,98,58.16326530612245,86.73469387755102
SEL_grad_w100-cnn-c0-g25-w100-bs32-lr0.003-seed42-20250922-043923-263de6,cnn,False,25,100,42,Vegetables,100,37.0,86.0
SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,lstm,False,25,100,42,Fruits,99,55.55555555555556,91.91919191919192
SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,lstm,False,25,100,42,Herbs,98,57.14285714285714,84.6938775510204
SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,lstm,False,25,100,42,Nuts,107,69.1588785046729,88.78504672897196
SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,lstm,False,25,100,42,Spices,98,54.08163265306123,84.6938775510204
SEL_grad_w100-lstm-c0-g25-w100-bs32-lr0.003-seed42-20250922-044014-8b3ce6,lstm,False,25,100,42,Vegetables,100,53.0,85.0
SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,mlp,False,25,100,42,Fruits,99,18.181818181818183,61.61616161616161
SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,mlp,False,25,100,42,Herbs,98,27.55102040816326,61.224489795918366
SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,mlp,False,25,100,42,Nuts,107,31.775700934579437,57.009345794392516
SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,mlp,False,25,100,42,Spices,98,34.69387755102041,66.3265306122449
SEL_grad_w100-mlp-c0-g25-w100-bs32-lr0.003-seed42-20250922-043853-360892,mlp,False,25,100,42,Vegetables,100,22.0,53.0
SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,transformer,False,25,100,42,Fruits,99,62.62626262626263,90.9090909090909
SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,transformer,False,25,100,42,Herbs,98,56.12244897959183,85.71428571428571
SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,transformer,False,25,100,42,Nuts,107,54.20560747663551,88.78504672897196
SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,transformer,False,25,100,42,Spices,98,58.16326530612245,86.73469387755102
SEL_grad_w100-transformer-c0-g25-w100-bs32-lr0.0003-seed42-20250922-043446-c3e1b7,transformer,False,25,100,42,Vegetables,100,50.0,85.0
